Age,Gender,Weight (kg),Height (cm),BMI,Activity Level,Dietary Goal,Daily Caloric Intake Goal (kcal),Diet Type,Allergies/Intolerances,Existing Health Conditions
36,male,69,153,29.48,sedentary,maintenance,1851,vegetarian,none,diabetes
26,female,71,177,22.66,active,weight loss,2656,regular,none,high cholesterol
30,female,62,173,20.72,sedentary,maintenance,1712,keto,gluten,hypertension
32,female,71,172,24.0,active,muscle gain,2585,regular,none,none
38,male,75,156,30.82,moderate,weight loss,2520,regular,none,none
33,female,61,184,18.02,sedentary,weight loss,1727,regular,none,diabetes
26,male,75,174,24.77,sedentary,weight loss,2137,regular,none,none
34,male,86,182,25.96,moderate,muscle gain,2977,paleo,none,none
38,female,68,153,29.05,active,weight loss,2391,regular,none,high cholesterol
27,male,78,165,28.65,moderate,weight loss,2746,regular,none,high cholesterol
45,female,60,173,20.05,moderate,maintenance,2082,regular,none,none
35,female,62,161,23.92,moderate,muscle gain,2121,regular,nuts,diabetes
30,female,74,161,28.55,active,maintenance,2589,regular,none,none
30,female,61,149,27.48,active,maintenance,2317,regular,none,none
36,male,89,149,40.09,sedentary,maintenance,2150,regular,none,none
47,male,95,187,27.17,moderate,weight loss,3087,regular,none,none
45,female,58,177,18.51,sedentary,muscle gain,1605,regular,none,high cholesterol
43,female,64,169,22.41,sedentary,muscle gain,1652,regular,none,none
38,male,79,163,29.73,moderate,weight loss,2656,regular,none,none
40,male,85,184,25.11,sedentary,muscle gain,2260,regular,none,none
19,female,65,141,32.69,moderate,maintenance,2175,regular,none,hypertension
22,male,85,182,25.66,active,weight loss,3408,vegetarian,none,none
39,male,67,188,18.96,active,maintenance,2875,regular,none,diabetes
41,male,66,187,18.87,moderate,maintenance,2538,regular,none,none
36,female,72,150,32.0,active,maintenance,2453,regular,none,none
28,female,60,151,26.31,sedentary,maintenance,1619,regular,none,none
47,male,85,176,27.44,sedentary,weight loss,2166,regular,none,high cholesterol
43,male,84,169,29.41,moderate,maintenance,2760,low-carb,lactose,diabetes
33,female,58,165,21.3,sedentary,weight loss,1623,regular,none,none
19,female,74,159,29.27,active,maintenance,2660,regular,none,none
50,female,64,159,25.32,sedentary,muscle gain,1579,vegan,none,none
38,female,67,162,25.53,moderate,maintenance,2177,vegan,none,none
24,female,66,159,26.11,sedentary,weight loss,1736,regular,none,none
25,female,60,174,19.82,moderate,weight loss,2221,regular,none,none
20,male,58,161,22.38,sedentary,weight loss,1829,vegetarian,none,none
38,male,82,167,29.4,moderate,weight loss,2748,regular,none,none
54,female,71,169,24.86,moderate,maintenance,2161,regular,none,hypertension
26,female,55,163,20.7,active,muscle gain,2326,regular,none,none
32,female,58,165,21.3,sedentary,weight loss,1628,regular,none,high cholesterol
31,female,61,180,18.83,moderate,muscle gain,2224,regular,none,none
30,male,82,167,29.4,sedentary,weight loss,2182,regular,none,hypertension
34,female,59,177,18.83,active,maintenance,2405,regular,none,none
25,male,78,183,23.29,active,weight loss,3225,vegetarian,none,none
36,female,53,171,18.13,sedentary,weight loss,1574,keto,shellfish,diabetes
45,female,72,163,27.1,active,muscle gain,2456,regular,gluten,none
35,male,74,157,30.02,moderate,weight loss,2533,low-carb,none,high cholesterol
44,male,80,167,28.69,active,weight loss,2953,regular,none,none
49,female,73,167,26.18,moderate,maintenance,2213,vegetarian,none,none
34,male,84,173,28.07,moderate,maintenance,2869,regular,none,diabetes
36,male,79,172,26.7,moderate,maintenance,2740,vegetarian,none,none
33,female,60,167,21.51,active,maintenance,2375,regular,none,diabetes
30,female,61,160,23.83,moderate,weight loss,2135,regular,none,none
35,female,58,144,27.97,moderate,weight loss,1982,regular,none,diabetes
34,female,53,167,19.0,active,muscle gain,2256,regular,none,none
46,female,56,168,19.84,sedentary,weight loss,1544,regular,none,none
32,female,75,157,30.43,moderate,maintenance,2308,regular,none,none
45,female,63,163,23.71,sedentary,maintenance,1608,vegetarian,none,none
32,male,78,185,22.79,active,maintenance,3173,regular,none,none
20,female,62,162,23.62,moderate,weight loss,2226,regular,none,high cholesterol
41,male,95,159,37.58,active,muscle gain,3263,regular,none,none
51,female,81,181,24.72,sedentary,weight loss,1844,keto,none,hypertension
31,male,81,177,25.85,sedentary,weight loss,2216,regular,gluten,none
46,female,82,159,32.44,sedentary,muscle gain,1799,regular,none,diabetes
65,male,72,165,26.45,moderate,muscle gain,2287,vegetarian,none,high cholesterol
39,female,61,177,19.47,moderate,weight loss,2156,regular,none,none
34,female,54,147,24.99,moderate,weight loss,1945,vegetarian,lactose,none
35,female,66,156,27.12,sedentary,muscle gain,1668,regular,lactose,none
49,female,67,179,20.91,moderate,muscle gain,2185,paleo,lactose,none
41,male,67,190,18.56,moderate,weight loss,2581,regular,none,high cholesterol
27,male,79,174,26.09,moderate,maintenance,2834,regular,none,none
26,female,63,159,24.92,sedentary,weight loss,1692,vegetarian,gluten,hypertension
22,female,77,163,28.98,moderate,muscle gain,2432,regular,none,none
30,female,56,141,28.17,moderate,weight loss,1972,regular,none,none
27,male,80,179,24.97,sedentary,weight loss,2239,regular,nuts,diabetes
43,male,79,167,28.33,active,weight loss,2939,regular,none,none
18,female,65,169,22.76,active,muscle gain,2578,vegan,none,diabetes
43,male,86,180,26.54,moderate,maintenance,2883,regular,none,hypertension
42,male,67,180,20.68,moderate,muscle gain,2498,regular,none,none
46,female,73,159,28.88,moderate,muscle gain,2195,regular,none,none
41,female,58,163,21.83,moderate,weight loss,2033,vegan,none,hypertension
23,male,75,188,21.22,sedentary,maintenance,2238,regular,none,none
47,male,85,162,32.39,sedentary,weight loss,2085,regular,none,hypertension
26,female,56,168,19.84,active,muscle gain,2369,regular,none,diabetes
46,female,65,155,27.06,sedentary,weight loss,1596,regular,nuts,hypertension
50,male,81,165,29.75,active,muscle gain,2901,regular,none,none
39,male,83,177,26.49,sedentary,weight loss,2194,vegetarian,none,hypertension
49,female,71,172,24.0,sedentary,muscle gain,1710,regular,none,none
24,male,89,190,24.65,moderate,weight loss,3187,vegetarian,none,none
56,female,65,165,23.88,sedentary,weight loss,1581,regular,none,high cholesterol
26,female,61,178,19.25,sedentary,weight loss,1741,vegan,none,none
43,female,66,180,20.37,active,muscle gain,2466,regular,none,none
18,female,76,152,32.89,sedentary,weight loss,1852,regular,none,diabetes
51,female,60,176,19.37,sedentary,muscle gain,1592,vegan,none,hypertension
39,female,73,172,24.68,sedentary,weight loss,1784,low-carb,none,none
37,female,80,164,29.74,sedentary,weight loss,1842,regular,gluten,high cholesterol
52,male,89,167,31.91,moderate,weight loss,2770,vegan,none,none
40,male,83,187,23.74,moderate,muscle gain,2900,regular,none,diabetes
21,male,83,166,30.12,active,maintenance,3239,regular,lactose,none
50,female,69,184,20.38,active,maintenance,2483,regular,none,high cholesterol
42,female,68,173,22.72,active,weight loss,2468,regular,none,none
21,female,64,162,24.39,active,weight loss,2502,regular,none,none
38,female,65,165,23.88,sedentary,weight loss,1674,vegetarian,none,none
19,male,74,163,27.85,moderate,weight loss,2719,regular,none,hypertension
29,male,81,182,24.45,sedentary,maintenance,2259,regular,none,high cholesterol
39,male,70,188,19.81,active,weight loss,2945,regular,none,none
27,male,66,171,22.57,moderate,maintenance,2542,vegan,none,none
45,female,66,159,26.11,sedentary,muscle gain,1627,regular,none,diabetes
29,female,67,169,23.46,moderate,weight loss,2271,regular,none,none
37,male,76,175,24.82,moderate,maintenance,2691,regular,none,none
18,male,94,172,31.77,moderate,maintenance,3210,regular,none,none
32,female,60,166,21.77,moderate,maintenance,2136,regular,none,none
30,female,68,152,29.43,sedentary,muscle gain,1701,regular,none,diabetes
48,female,79,162,30.1,moderate,maintenance,2282,regular,none,none
25,female,59,150,26.22,moderate,maintenance,2092,keto,none,none
39,female,70,151,30.7,sedentary,maintenance,1673,regular,none,none
21,male,77,177,24.58,moderate,weight loss,2868,regular,none,none
35,female,64,165,23.51,sedentary,weight loss,1679,regular,none,none
21,female,69,168,24.45,moderate,weight loss,2349,regular,none,high cholesterol
31,female,70,159,27.69,moderate,weight loss,2253,vegan,none,none
42,female,45,168,15.94,active,weight loss,2074,regular,none,none
36,female,84,172,28.39,sedentary,weight loss,1922,vegan,none,none
47,male,64,190,17.73,moderate,weight loss,2466,regular,none,none
38,male,93,189,26.04,moderate,maintenance,3140,regular,shellfish,hypertension
41,female,60,158,24.03,moderate,maintenance,2037,vegetarian,none,none
18,female,53,164,19.71,moderate,muscle gain,2120,regular,none,none
31,female,54,160,21.09,sedentary,muscle gain,1570,vegetarian,none,high cholesterol
25,male,67,173,22.39,moderate,weight loss,2595,vegan,lactose,none
39,female,54,163,20.32,moderate,weight loss,1989,paleo,none,none
34,female,56,157,22.72,active,weight loss,2250,regular,none,none
39,male,74,178,23.36,moderate,muscle gain,2654,regular,none,none
41,female,71,186,20.52,sedentary,weight loss,1803,regular,lactose,diabetes
53,male,86,183,25.68,active,weight loss,3136,regular,none,none
41,female,70,163,26.35,active,muscle gain,2454,regular,none,none
29,female,66,149,29.73,sedentary,muscle gain,1673,vegan,none,high cholesterol
48,male,85,168,30.12,sedentary,weight loss,2113,vegetarian,none,none
46,male,81,194,21.52,active,weight loss,3180,regular,none,none
32,female,61,172,20.62,sedentary,muscle gain,1687,paleo,none,none
27,male,71,180,21.91,moderate,maintenance,2713,regular,none,none
23,female,72,165,26.45,moderate,weight loss,2364,regular,none,high cholesterol
21,male,63,180,19.44,sedentary,maintenance,2012,vegan,none,none
23,male,88,194,23.38,sedentary,weight loss,2481,vegan,none,none
24,male,70,180,21.6,moderate,muscle gain,2718,vegetarian,none,none
27,female,58,150,25.78,sedentary,weight loss,1598,regular,none,high cholesterol
41,male,73,188,20.65,moderate,weight loss,2690,vegan,none,none
52,male,74,167,26.53,moderate,weight loss,2458,regular,none,hypertension
35,male,82,187,23.45,sedentary,muscle gain,2263,regular,none,none
20,female,70,174,23.12,moderate,weight loss,2398,regular,gluten,hypertension
47,male,81,169,28.36,sedentary,muscle gain,2061,regular,none,none
26,female,62,172,20.96,moderate,maintenance,2234,regular,none,none
41,male,93,179,29.03,active,maintenance,3382,regular,none,none
37,male,95,181,29.0,sedentary,maintenance,2424,vegetarian,none,none
43,female,71,149,31.98,moderate,maintenance,2138,vegan,none,none
18,female,66,165,24.24,moderate,weight loss,2311,vegan,none,none
28,male,82,175,26.78,sedentary,weight loss,2241,regular,gluten,none
28,female,60,147,27.77,active,weight loss,2306,vegetarian,none,high cholesterol
48,female,57,177,18.19,sedentary,weight loss,1578,regular,gluten,none
34,female,59,169,20.66,moderate,weight loss,2123,regular,shellfish,none
50,male,90,153,38.45,moderate,muscle gain,2704,regular,none,none
20,female,66,164,24.54,active,weight loss,2552,regular,none,diabetes
32,female,55,167,19.72,moderate,muscle gain,2069,regular,none,hypertension
62,male,81,187,23.16,moderate,maintenance,2664,keto,none,none
21,male,72,150,32.0,sedentary,weight loss,1984,regular,none,none
39,male,82,179,25.59,sedentary,weight loss,2189,vegetarian,none,high cholesterol
41,female,55,182,16.6,moderate,maintenance,2081,regular,none,none
45,male,73,186,21.1,sedentary,maintenance,2044,regular,none,none
36,male,83,173,27.73,moderate,maintenance,2831,regular,shellfish,none
32,male,72,186,20.81,sedentary,maintenance,2117,vegan,none,none
38,female,81,173,27.06,moderate,weight loss,2430,keto,none,none
26,female,72,171,24.62,active,maintenance,2640,regular,none,none
28,male,73,177,23.3,sedentary,weight loss,2108,regular,none,diabetes
37,female,64,171,21.89,sedentary,weight loss,1691,keto,none,high cholesterol
45,female,51,158,20.43,sedentary,weight loss,1457,regular,gluten,none
43,male,75,169,26.26,active,maintenance,2864,vegetarian,none,none
48,male,87,188,24.62,sedentary,weight loss,2260,regular,lactose,diabetes
30,male,83,174,27.41,active,weight loss,3217,keto,none,diabetes
28,male,82,157,33.27,moderate,weight loss,2761,regular,none,none
39,male,56,169,19.61,moderate,muscle gain,2214,regular,none,diabetes
32,female,65,162,24.77,sedentary,weight loss,1694,regular,none,none
20,female,64,132,36.73,sedentary,weight loss,1634,regular,none,none
30,female,53,154,22.35,moderate,maintenance,1992,regular,none,none
46,male,83,158,33.25,moderate,maintenance,2631,regular,none,none
46,male,60,169,21.01,sedentary,weight loss,1730,regular,none,none
48,female,71,145,33.77,sedentary,maintenance,1615,regular,none,none
36,female,61,155,25.39,active,weight loss,2305,regular,none,none
41,male,71,166,25.77,sedentary,muscle gain,1924,regular,none,hypertension
45,female,70,173,23.39,moderate,weight loss,2226,regular,none,none
41,female,63,151,27.63,moderate,weight loss,2047,vegan,gluten,none
25,female,67,163,25.22,moderate,maintenance,2269,regular,none,none
43,female,75,164,27.89,active,weight loss,2524,keto,none,none
25,female,60,170,20.76,sedentary,maintenance,1705,regular,none,none
33,male,86,172,29.07,sedentary,weight loss,2254,regular,nuts,none
39,male,77,181,23.5,moderate,muscle gain,2739,regular,none,none
55,female,55,175,17.96,moderate,muscle gain,1953,regular,none,none
50,male,69,172,23.32,sedentary,weight loss,1865,vegetarian,none,none
45,male,69,164,25.65,active,weight loss,2664,regular,none,none
27,female,49,188,13.86,moderate,maintenance,2118,regular,lactose,hypertension
34,female,71,149,31.98,active,muscle gain,2447,vegetarian,none,none
34,male,79,167,28.33,moderate,maintenance,2720,regular,none,none
22,female,60,176,19.37,active,weight loss,2505,keto,none,none
32,female,60,182,18.11,sedentary,weight loss,1713,regular,none,diabetes
33,female,58,162,22.1,sedentary,weight loss,1611,regular,none,none
42,female,50,170,17.3,moderate,maintenance,1945,regular,none,none
55,male,70,173,23.39,moderate,weight loss,2393,vegetarian,none,diabetes
39,female,72,179,22.47,sedentary,weight loss,1799,regular,none,hypertension
31,female,61,181,18.62,sedentary,maintenance,1726,regular,none,high cholesterol
32,male,85,185,24.84,sedentary,weight loss,2320,regular,none,none
46,female,66,172,22.31,moderate,weight loss,2157,paleo,lactose,none
36,female,66,155,27.47,sedentary,weight loss,1659,vegetarian,none,high cholesterol
53,male,75,173,25.06,sedentary,muscle gain,1947,vegetarian,none,none
36,female,64,166,23.23,sedentary,muscle gain,1677,regular,gluten,none
41,male,97,158,38.86,sedentary,weight loss,2296,regular,none,high cholesterol
27,female,65,158,26.04,sedentary,weight loss,1705,regular,none,none
42,male,73,187,20.88,moderate,muscle gain,2674,regular,none,none
51,female,67,151,29.38,sedentary,weight loss,1577,regular,none,none
30,male,75,187,21.45,sedentary,maintenance,2184,keto,none,none
51,male,66,157,26.78,moderate,muscle gain,2227,low-carb,none,none
52,male,84,173,28.07,active,weight loss,3017,regular,none,none
18,male,71,183,21.2,sedentary,muscle gain,2179,regular,none,none
28,female,74,169,25.91,sedentary,muscle gain,1841,paleo,none,none
29,female,67,163,25.22,moderate,weight loss,2242,regular,lactose,none
36,male,93,154,39.21,active,weight loss,3224,vegetarian,none,hypertension
42,female,61,176,19.69,sedentary,weight loss,1650,regular,none,diabetes
33,female,53,164,19.71,sedentary,maintenance,1563,paleo,none,hypertension
36,female,67,175,21.88,active,muscle gain,2507,regular,none,none
38,male,76,171,25.99,sedentary,weight loss,2054,regular,none,none
33,male,79,179,24.66,moderate,muscle gain,2819,regular,none,none
32,female,73,181,22.28,active,weight loss,2665,regular,none,diabetes
26,male,90,174,29.73,moderate,muscle gain,3071,regular,none,none
38,female,53,174,17.51,moderate,weight loss,2034,regular,none,hypertension
36,male,75,171,25.65,active,weight loss,2949,regular,none,none
46,male,65,182,19.62,active,muscle gain,2711,regular,none,diabetes
45,female,69,156,28.35,sedentary,weight loss,1649,vegan,none,none
27,female,83,162,31.63,moderate,muscle gain,2480,regular,none,hypertension
27,male,68,169,23.81,moderate,weight loss,2569,regular,none,none
21,female,55,164,20.45,sedentary,muscle gain,1648,vegetarian,none,none
29,female,66,155,27.47,moderate,muscle gain,2189,vegan,none,hypertension
52,male,60,179,18.73,sedentary,weight loss,1747,regular,nuts,none
30,female,60,164,22.31,sedentary,weight loss,1657,regular,lactose,none
33,male,85,178,26.83,moderate,weight loss,2936,regular,none,none
25,female,66,165,24.24,moderate,weight loss,2264,regular,none,hypertension
28,male,72,174,23.78,moderate,maintenance,2680,regular,none,diabetes
26,male,71,170,24.57,sedentary,muscle gain,2049,vegan,none,none
32,female,54,162,20.58,moderate,muscle gain,2031,vegan,none,none
37,female,71,160,27.73,moderate,weight loss,2231,regular,gluten,none
22,female,66,167,23.67,active,maintenance,2553,regular,none,none
31,male,67,177,21.39,sedentary,weight loss,1991,regular,none,none
31,male,86,155,35.8,sedentary,weight loss,2170,low-carb,none,none
45,female,63,160,24.61,moderate,maintenance,2063,regular,none,none
32,male,84,175,27.43,active,weight loss,3229,low-carb,none,none
53,male,88,178,27.77,moderate,weight loss,2822,low-carb,none,none
37,female,62,173,20.72,active,maintenance,2409,regular,none,none
42,female,61,162,23.24,sedentary,weight loss,1598,regular,none,none
41,male,58,172,19.61,sedentary,maintenance,1750,regular,none,none
22,female,69,171,23.6,active,weight loss,2622,vegetarian,none,high cholesterol
36,male,70,182,21.13,moderate,weight loss,2628,regular,none,diabetes
29,male,69,178,21.78,moderate,maintenance,2639,regular,none,none
35,female,58,154,24.46,moderate,weight loss,2030,vegan,none,none
62,female,61,144,29.42,active,maintenance,2052,paleo,none,none
45,male,85,165,31.22,moderate,maintenance,2733,regular,none,none
35,male,71,164,26.4,sedentary,muscle gain,1953,regular,none,hypertension
35,female,56,160,21.87,active,weight loss,2259,vegan,none,diabetes
49,female,58,172,19.61,moderate,maintenance,2022,regular,none,none
43,male,61,162,23.24,sedentary,weight loss,1727,regular,shellfish,none
18,male,97,174,32.04,sedentary,muscle gain,2545,regular,gluten,none
43,female,67,166,24.31,active,maintenance,2407,vegan,none,none
22,female,51,166,18.51,sedentary,weight loss,1606,regular,none,none
28,male,63,186,18.21,moderate,weight loss,2582,low-carb,none,none
38,female,70,162,26.67,active,weight loss,2471,regular,none,none
30,female,67,156,27.53,sedentary,weight loss,1705,vegetarian,none,none
57,female,58,166,21.05,sedentary,maintenance,1502,regular,none,none
52,male,64,194,17.0,sedentary,maintenance,1898,regular,none,none
34,male,67,168,23.74,moderate,weight loss,2479,regular,lactose,hypertension
32,female,69,153,29.48,sedentary,muscle gain,1705,regular,none,diabetes
33,female,48,160,18.75,moderate,muscle gain,1929,vegetarian,lactose,hypertension
45,female,52,174,17.18,sedentary,weight loss,1527,vegetarian,none,none
45,female,61,176,19.69,active,maintenance,2350,regular,none,none
41,female,77,156,31.64,moderate,weight loss,2271,regular,none,none
22,male,74,172,25.01,moderate,maintenance,2759,low-carb,none,high cholesterol
18,male,89,178,28.09,active,weight loss,3506,vegetarian,none,none
46,male,85,168,30.12,active,maintenance,3057,regular,none,none
18,female,78,148,35.61,sedentary,weight loss,1859,regular,nuts,none
22,male,70,180,21.6,moderate,weight loss,2736,regular,none,none
45,male,75,174,24.77,moderate,weight loss,2593,paleo,none,hypertension
44,female,52,161,20.06,moderate,muscle gain,1917,regular,none,none
57,male,98,187,28.02,moderate,weight loss,3061,regular,gluten,none
37,male,62,179,19.35,sedentary,maintenance,1882,regular,none,none
34,female,72,176,23.24,sedentary,muscle gain,1814,regular,none,none
39,female,63,157,25.56,sedentary,weight loss,1617,regular,none,none
53,male,67,174,22.13,sedentary,weight loss,1824,vegetarian,none,none
27,female,61,150,27.11,sedentary,maintenance,1631,regular,none,diabetes
31,male,99,150,44.0,moderate,maintenance,3036,vegan,none,high cholesterol
42,male,91,173,30.41,sedentary,weight loss,2279,vegetarian,none,none
18,male,82,194,21.79,moderate,maintenance,3124,vegan,gluten,none
48,female,71,169,24.86,moderate,weight loss,2201,regular,none,none
50,female,66,174,21.8,sedentary,muscle gain,1657,regular,none,none
24,male,81,186,23.41,moderate,muscle gain,2991,vegetarian,none,none
41,female,61,178,19.25,sedentary,weight loss,1663,regular,none,none
35,male,75,186,21.68,sedentary,weight loss,2144,regular,none,hypertension
33,female,57,175,18.61,active,maintenance,2370,regular,none,none
47,female,67,147,31.01,active,weight loss,2275,regular,none,none
22,male,63,171,21.55,sedentary,maintenance,1954,regular,none,high cholesterol
29,male,66,161,25.46,active,maintenance,2726,regular,none,none
29,female,66,177,21.07,moderate,weight loss,2295,vegetarian,none,none
19,female,56,177,17.87,moderate,weight loss,2219,regular,none,none
23,male,69,166,25.04,active,weight loss,2896,regular,none,diabetes
25,male,79,147,36.56,active,weight loss,2950,regular,none,none
18,male,84,173,28.07,sedentary,maintenance,2330,regular,gluten,diabetes
29,female,50,154,21.08,moderate,weight loss,1955,vegan,none,none
31,male,92,183,27.47,active,maintenance,3490,regular,none,none
37,male,73,170,25.26,moderate,maintenance,2592,regular,none,diabetes
38,male,76,166,27.58,sedentary,weight loss,2025,regular,gluten,none
41,male,61,150,27.11,moderate,weight loss,2159,regular,none,none
35,male,72,194,19.13,sedentary,maintenance,2142,regular,lactose,none
30,female,64,169,22.41,active,weight loss,2472,regular,none,none
40,female,68,145,32.34,moderate,weight loss,2096,keto,none,none
43,male,69,183,20.6,moderate,maintenance,2553,regular,none,none
37,female,57,167,20.44,moderate,weight loss,2064,regular,none,none
27,female,77,180,23.77,active,weight loss,2761,regular,none,diabetes
39,male,74,181,22.59,active,weight loss,2979,vegetarian,none,diabetes
45,female,63,169,22.06,moderate,maintenance,2106,regular,gluten,none
19,male,86,152,37.22,moderate,muscle gain,2886,regular,none,none
18,male,94,164,34.95,sedentary,maintenance,2439,keto,none,hypertension
31,female,54,192,14.65,moderate,muscle gain,2182,regular,none,none
33,female,53,176,17.11,moderate,maintenance,2077,regular,none,none
43,male,82,172,27.72,sedentary,muscle gain,2122,regular,none,high cholesterol
47,female,59,157,23.94,moderate,weight loss,1978,regular,none,none
32,male,80,169,28.01,sedentary,muscle gain,2147,regular,none,none
31,male,68,186,19.66,sedentary,muscle gain,2059,regular,none,none
60,male,80,166,29.03,sedentary,maintenance,1939,regular,none,none
34,male,84,170,29.07,sedentary,weight loss,2204,regular,none,none
30,male,88,193,23.62,moderate,muscle gain,3136,vegetarian,none,diabetes
24,female,59,156,24.24,sedentary,weight loss,1647,vegetarian,none,none
20,male,72,188,20.37,sedentary,weight loss,2210,regular,none,none
52,female,70,160,27.34,sedentary,muscle gain,1638,regular,none,none
45,male,64,168,22.68,sedentary,weight loss,1796,regular,none,none
31,female,73,160,28.52,sedentary,maintenance,1781,paleo,lactose,none
44,female,62,169,21.71,moderate,weight loss,2099,regular,gluten,none
18,male,83,173,27.73,sedentary,weight loss,2314,regular,lactose,none
34,male,86,187,24.59,sedentary,maintenance,2334,vegan,none,none
